Metabolite	HMDB_ID	Alt_name	Alt_source_HMDB	Protein_interactions
ribose-5-P/ribulose5-P	HMDBCOMB004	ribose-5-P/ribulose5-P	HMDB0001548;HMDB0000618	ADPRM;NUDT5;NUDT9;PGD;PGM1;PGM2;PGM3;PRPS1;PRPS1L1;PRPS2;RBKS;RPE;RPIA;TKT;TKTL1;TKTL2;TRPM2
sorbitol	HMDB0000247	Sorbitol		AKR1B1;AKR1B10;GCK;GLA;GYPB;HK2;HK3;SORD
succinate/methylmalonate	HMDBCOMB005	succinate/methylmalonate	HMDB0000254;HMDB0000202	ALDH1A3;ALDH1B1;ALDH2;ALDH3A2;ALDH5A1;ALDH7A1;ALDH9A1;ALKBH1;ALKBH2;AOX1;ASPH;BBOX1;EGLN1;EGLN2;EGLN3;HIF1AN;HSD17B6;KDM2A;KDM2B;KDM8;LEPRE1;LEPREL1;LEPREL2;MINA;NO66;OXCT1;OXCT2;P4HA1;P4HA2;P4HA3;P4HTM;PHF8;PHYH;PLOD1;PLOD2;PLOD3;SDHA;SDHB;SDHC;SDHD;SLC13A1;SLC13A2;SLC13A3;SLC25A10;SUCLA2;SUCLG1;SUCLG2;TET1;TET2;TET3;TMLHE
sucrose	HMDB0000258	Sucrose		GAA;GANC;GLA;MGAM;SI
thymine	HMDB0000262	Thymine		DPYD;TYMP
UMP	HMDB0000288	Uridine 5'-monophosphate		B4GALT1;CANT1;CMPK1;CMPK2;DPAGT1;ENPP1;ENPP3;ENTPD1;ENTPD3;ENTPD4;ENTPD5;ENTPD6;ENTPD8;GNPTAB;ISG20;ITPA;NT5C;NT5C1A;NT5C1B;NT5C2;NT5C3;NT5E;NT5M;NUDT14;NUDT2;UCK1;UCK2;UCKL1;UMPS;UPRT
UDP-galactose/UDP-glucose	HMDB0000286	Uridine diphosphate glucose		ALG5;ENPP1;ENPP3;GALE;GALT;GYG1;GYG2;GYS1;GYS2;NUDT14;PLOD3;SI;TREH;UGCG;UGDH;UGP2
uracil	HMDB0000300	Uracil		DPYD;GPR17;PNP;TYMP;UCKL1;UPP1;UPP2;UPRT
urate	HMDB0000289	Uric acid		PYGL;XDH
uridine	HMDB0000296	Uridine		AICDA;AID;APOBEC3A;APOBEC3B;APOBEC3C;APOBEC3D;APOBEC3F;APOBEC3H;CDA;DKC1;NT5C;NT5C1A;NT5C1B;NT5C2;NT5C3;NT5E;NT5M;PUS1;PUS10;PUS3;PUSL1;UCK1;UCK2;UCKL1;UPP1;UPP2
xanthine	HMDB0000292	Xanthine		GDA;HPRT1;PNP;XDH
taurocholate	HMDB0000036	Taurocholic acid		ABCB1;ABCB11;ABCC1;ABCC11;ABCC2;ABCC3;ABCC4;ABCG2;BAAT;CEL;CYP7A1;FABP6;SLC10A1;SLC10A2;SLC16A1;SLC22A1;SLC22A6;SLCO1A2;SLCO1B1;SLCO1B3;SLCO1C1;SLCO2B1;SLCO3A1;SLCO4A1
glycodeoxycholate/glycochenodeoxycholate	HMDBCOMB006	glycodeoxycholate/glycochenodeoxycholate	HMDB0000631;HMDB0000637	BAAT;GLYAT;GLYATL1;GLYATL2;GLYATL3
taurodeoxycholate/taurochenodeoxycholate	HMDBCOMB007	taurodeoxycholate/taurochenodeoxycholate	HMDB0000896;HMDB0000951	BAAT;CYP3A4
phosphocreatine	HMDB0001511	Phosphocreatine		CKB;CKM;CKMT1A;CKMT2
3-methyladipate/pimelate	HMDBCOMB008	3-methyladipate/pimelate	HMDB0000555;HMDB0000857	
6-phosphogluconate	HMDB0001316	6-Phosphogluconic acid		H6PD;IDNK;PGD;PGLS
alpha-hydroxybutyrate	HMDB0000008	2-Hydroxybutyric acid		DLD;LDHA;LDHAL6A;LDHAL6B;LDHB;LDHC
2-hydroxyglutarate	HMDB0059655	2-Hydroxyglutarate		ADHFE1;D2HGDH;L2HGDH;PHGDH
inositol	NA	inositol		
malondialdehyde	HMDB0006112	Malondialdehyde		
glycine	HMDB0000123	Glycine		AGXT;AGXT2;ALAS1;ALAS2;AMT;ANPEP;BAAT;CCBL2;DAO;DKFZp686P09201;GARS;GART;GATM;GCAT;GCSH;GLDC;GLRA1;GLRA2;GLRA3;GLRB;GLYAT;GLYATL1;GLYATL2;GNMT;GPR18;GRIN2A;GRIN2C;GRIN3B;GSS;LAP3;PIPOX;SARDH;SHMT1;SHMT2;SLC16A10;SLC32A1;SLC36A1;SLC6A5;SLC6A9
alanine	HMDB0000161	L-Alanine		AARS;AARS2;ABAT;AGXT;AGXT2;AGXT2L2;GPT;GPT2;KYNU;MOCOS;NFS1;PGLYRP1;PGLYRP2;PGLYRP3;PGLYRP4;SCLY;SLC16A10;SLC1A4;SLC36A1;SLC38A3;SLC7A8
serine	HMDB0000187	L-Serine		AGXT;CBS;PSPH;PTDSS1;PTDSS2;SARS;SARS2;SDS;SDSL;SERINC1;SHMT1;SHMT2;SLC16A10;SLC1A4;SPTLC1;SPTLC2;SPTLC3;SRR
threonine	HMDB0000167	L-Threonine		ILVBL;SDS;SDSL;SLC16A10;SLC1A4;TARS;TARS2;TARSL2;THNSL1
methionine	HMDB0000696	L-Methionine		AS3MT;BHMT;BHMT2;CCBL1;CCBL2;GLUL;IL4I1;INMT;LIAS;MARS;MARS2;MAT1A;MAT2A;MAT2B;METAP2;MSRA;MSRB1;MSRB2;MSRB3;MTHFR;MTR;MTRR;SLC16A10;TAT
