Metabolite	HMDB_ID	Alt_name	Alt_source_HMDB	Protein_interactions
C20:5 CE	HMDB0006731	CE(20:5(5Z,8Z,11Z,14Z,17Z)		CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
C20:4 CE	HMDB0010371	CE(20:4(8Z,11Z,14Z,17Z))		CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
C20:3 CE	HMDB0010373	CE(20:3(5Z,8Z,11Z))		CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
C22:6 CE	HMDB0006733	CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z))		CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
C46:2 TAG	HMDBCOMB051	C46:2 TAG	HMDB0010419;HMDB0042076;HMDB0042280;HMDB0042281;HMDB0042309;HMDB0042338;HMDB0042368;HMDB0042511;HMDB0044031;HMDB0044058;HMDB0044861;HMDB0047726;HMDB0047727;HMDB0047771;HMDB0047793;HMDB0047907;HMDB0048391	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C46:1 TAG	HMDBCOMB052	C46:1 TAG	HMDB0010412;HMDB0042070;HMDB0042071;HMDB0042129;HMDB0042158;HMDB0042274;HMDB0042300;HMDB0042303;HMDB0042331;HMDB0042361;HMDB0042938;HMDB0042996;HMDB0043192;HMDB0043890;HMDB0044025;HMDB0044672;HMDB0047746	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C46:0 TAG	HMDBCOMB053	C46:0 TAG	HMDB0010411;HMDB0042064;HMDB0042090;HMDB0042123;HMDB0042151;HMDB0042931;HMDB0042990;HMDB0043018	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C48:3 TAG	HMDBCOMB054	C48:3 TAG	HMDB0010422;HMDB0042073;HMDB0042079;HMDB0042137;HMDB0042144;HMDB0042288;HMDB0042316;HMDB0042421;HMDB0042519;HMDB0042543;HMDB0042578;HMDB0042601;HMDB0042753;HMDB0043004;HMDB0043011;HMDB0043424;HMDB0043627;HMDB0043843;HMDB0043850;HMDB0044038;HMDB0044254;HMDB0047734;HMDB0047778;HMDB0047889;HMDB0047910;HMDB0047911;HMDB0047932;HMDB0047955;HMDB0047977;HMDB0048568;HMDB0048569	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C48:2 TAG	HMDBCOMB055	C48:2 TAG	HMDB0005376;HMDB0010415;HMDB0010420;HMDB0010421;HMDB0042078;HMDB0042136;HMDB0042282;HMDB0042310;HMDB0042311;HMDB0042339;HMDB0042369;HMDB0042398;HMDB0042513;HMDB0042571;HMDB0043003;HMDB0043395;HMDB0044032;HMDB0044033;HMDB0044086;HMDB0044114;HMDB0044862;HMDB0044888;HMDB0045662;HMDB0047728;HMDB0047772;HMDB0047773;HMDB0047794;HMDB0047816;HMDB0047930;HMDB0048392;HMDB0048457;HMDB0048588	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C48:1 TAG	HMDBCOMB056	C48:1 TAG	HMDB0005359;HMDB0010414;HMDB0010426;HMDB0042072;HMDB0042130;HMDB0042131;HMDB0042159;HMDB0042188;HMDB0042275;HMDB0042304;HMDB0042330;HMDB0042333;HMDB0042363;HMDB0042391;HMDB0042939;HMDB0042997;HMDB0042998;HMDB0043221;HMDB0043250;HMDB0043836;HMDB0043918;HMDB0044026;HMDB0044052;HMDB0044053;HMDB0044646;HMDB0044726;HMDB0045480;HMDB0047792;HMDB0048434	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C48:0 TAG	HMDBCOMB057	C48:0 TAG	HMDB0010413;HMDB0042065;HMDB0042124;HMDB0042150;HMDB0042153;HMDB0042181;HMDB0042933;HMDB0042991;HMDB0043017;HMDB0043047;HMDB0043801;HMDB0043856	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C50:3 TAG	HMDBCOMB058	C50:3 TAG	HMDB0005379;HMDB0005433;HMDB0010417;HMDB0010436;HMDB0010449;HMDB0042133;HMDB0042139;HMDB0042167;HMDB0042174;HMDB0042291;HMDB0042318;HMDB0042346;HMDB0042376;HMDB0042423;HMDB0042520;HMDB0042521;HMDB0042544;HMDB0042570;HMDB0042579;HMDB0042603;HMDB0042668;HMDB0042754;HMDB0042780;HMDB0042947;HMDB0042954;HMDB0043000;HMDB0043006;HMDB0043308;HMDB0043482;HMDB0043839;HMDB0043845;HMDB0043899;HMDB0044040;HMDB0044255;HMDB0044277;HMDB0044310;HMDB0044473;HMDB0044681;HMDB0044688;HMDB0044869;HMDB0045077;HMDB0047737;HMDB0047780;HMDB0047801;HMDB0047891;HMDB0047912;HMDB0047933;HMDB0047934;HMDB0047956;HMDB0047957;HMDB0047978;HMDB0048023;HMDB0048091;HMDB0048399;HMDB0048422;HMDB0048464;HMDB0048570;HMDB0048590;HMDB0048611;HMDB0048633;HMDB0049219;HMDB0049220;HMDB0049841;HMDB0052515;HMDB0052858;HMDB0055154	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C50:2 TAG	HMDBCOMB059	C50:2 TAG	HMDB0005362;HMDB0005377;HMDB0005430;HMDB0010423;HMDB0010430;HMDB0010434;HMDB0010435;HMDB0010448;HMDB0042081;HMDB0042138;HMDB0042166;HMDB0042284;HMDB0042312;HMDB0042340;HMDB0042341;HMDB0042370;HMDB0042371;HMDB0042399;HMDB0042458;HMDB0042514;HMDB0042540;HMDB0042573;HMDB0042661;HMDB0042946;HMDB0043005;HMDB0043453;HMDB0043844;HMDB0044034;HMDB0044060;HMDB0044087;HMDB0044115;HMDB0044142;HMDB0044249;HMDB0044863;HMDB0044864;HMDB0044889;HMDB0044915;HMDB0044942;HMDB0045663;HMDB0045688;HMDB0046433;HMDB0047730;HMDB0047774;HMDB0047795;HMDB0047796;HMDB0047817;HMDB0047839;HMDB0047953;HMDB0047976;HMDB0048393;HMDB0048394;HMDB0048416;HMDB0048459;HMDB0048479;HMDB0048610;HMDB0049051;HMDB0049239;HMDB0049860;HMDB0052410	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C50:1 TAG	HMDBCOMB060	C50:1 TAG	HMDB0005360;HMDB0005374;HMDB0010416;HMDB0010428;HMDB0010429;HMDB0042074;HMDB0042132;HMDB0042160;HMDB0042161;HMDB0042189;HMDB0042218;HMDB0042276;HMDB0042305;HMDB0042334;HMDB0042360;HMDB0042364;HMDB0042390;HMDB0042393;HMDB0042451;HMDB0042940;HMDB0042941;HMDB0042999;HMDB0043279;HMDB0043838;HMDB0043919;HMDB0043946;HMDB0044027;HMDB0044080;HMDB0044081;HMDB0044109;HMDB0044647;HMDB0044727;HMDB0044753;HMDB0044857;HMDB0044883;HMDB0045455;HMDB0045481;HMDB0045532;HMDB0046258;HMDB0047815;HMDB0048478;HMDB0049092;HMDB0049720	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C50:0 TAG	HMDBCOMB061	C50:0 TAG	HMDB0005357;HMDB0010427;HMDB0042066;HMDB0042125;HMDB0042154;HMDB0042180;HMDB0042183;HMDB0042211;HMDB0042934;HMDB0042992;HMDB0043076;HMDB0043831;HMDB0043912;HMDB0043913;HMDB0044641;HMDB0044694	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C52:5 TAG	HMDBCOMB062	C52:5 TAG	HMDB0005380;HMDB0005446;HMDB0010450;HMDB0010473;HMDB0042143;HMDB0042148;HMDB0042177;HMDB0042322;HMDB0042350;HMDB0042356;HMDB0042380;HMDB0042386;HMDB0042415;HMDB0042436;HMDB0042523;HMDB0042529;HMDB0042558;HMDB0042587;HMDB0042594;HMDB0042616;HMDB0042640;HMDB0042641;HMDB0042699;HMDB0042723;HMDB0042768;HMDB0042792;HMDB0042820;HMDB0042821;HMDB0042844;HMDB0042870;HMDB0042873;HMDB0042957;HMDB0043010;HMDB0043015;HMDB0043598;HMDB0043743;HMDB0043849;HMDB0043854;HMDB0043909;HMDB0044044;HMDB0044076;HMDB0044103;HMDB0044131;HMDB0044263;HMDB0044270;HMDB0044290;HMDB0044367;HMDB0044422;HMDB0044486;HMDB0044508;HMDB0044509;HMDB0044535;HMDB0044557;HMDB0044691;HMDB0044873;HMDB0044879;HMDB0044905;HMDB0045185;HMDB0045321;HMDB0045347;HMDB0045679;HMDB0046104;HMDB0047784;HMDB0047805;HMDB0047811;HMDB0047833;HMDB0047936;HMDB0047942;HMDB0047959;HMDB0047965;HMDB0047986;HMDB0047993;HMDB0048002;HMDB0048003;HMDB0048079;HMDB0048096;HMDB0048123;HMDB0048140;HMDB0048141;HMDB0048183;HMDB0048257;HMDB0048321;HMDB0048403;HMDB0048409;HMDB0048426;HMDB0048468;HMDB0048474;HMDB0048495;HMDB0048593;HMDB0048599;HMDB0048619;HMDB0048626;HMDB0048641;HMDB0048648;HMDB0048677;HMDB0048766;HMDB0048767;HMDB0048809;HMDB0048920;HMDB0048921;HMDB0048962;HMDB0049067;HMDB0049082;HMDB0049088;HMDB0049129;HMDB0049222;HMDB0049228;HMDB0049247;HMDB0049254;HMDB0049716;HMDB0049755;HMDB0049843;HMDB0049849;HMDB0049867;HMDB0049874;HMDB0050313;HMDB0050438;HMDB0050445;HMDB0050872;HMDB0052399;HMDB0052427;HMDB0052503;HMDB0052516;HMDB0052846;HMDB0053270;HMDB0054099;HMDB0055410;HMDB0055575;HMDB0055688	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C52:4 TAG	HMDBCOMB063	C52:4 TAG	HMDB0005363;HMDB0005390;HMDB0005440;HMDB0010440;HMDB0010444;HMDB0010451;HMDB0042142;HMDB0042170;HMDB0042176;HMDB0042205;HMDB0042343;HMDB0042349;HMDB0042373;HMDB0042379;HMDB0042407;HMDB0042414;HMDB0042430;HMDB0042431;HMDB0042528;HMDB0042552;HMDB0042586;HMDB0042610;HMDB0042611;HMDB0042634;HMDB0042660;HMDB0042693;HMDB0042762;HMDB0042785;HMDB0042814;HMDB0042840;HMDB0042950;HMDB0042956;HMDB0043009;HMDB0043569;HMDB0043848;HMDB0043908;HMDB0043935;HMDB0044063;HMDB0044069;HMDB0044095;HMDB0044102;HMDB0044123;HMDB0044130;HMDB0044171;HMDB0044284;HMDB0044285;HMDB0044339;HMDB0044361;HMDB0044480;HMDB0044481;HMDB0044502;HMDB0044528;HMDB0044529;HMDB0044663;HMDB0044684;HMDB0044690;HMDB0044743;HMDB0044866;HMDB0044872;HMDB0044897;HMDB0044904;HMDB0044996;HMDB0045105;HMDB0045158;HMDB0045294;HMDB0045497;HMDB0045671;HMDB0045678;HMDB0045896;HMDB0046078;HMDB0047798;HMDB0047804;HMDB0047825;HMDB0047832;HMDB0047921;HMDB0047941;HMDB0047964;HMDB0047985;HMDB0048022;HMDB0048073;HMDB0048117;HMDB0048118;HMDB0048160;HMDB0048185;HMDB0048396;HMDB0048402;HMDB0048461;HMDB0048467;HMDB0048487;HMDB0048494;HMDB0048579;HMDB0048598;HMDB0048618;HMDB0048744;HMDB0048745;HMDB0048786;HMDB0048787;HMDB0048940;HMDB0049059;HMDB0049066;HMDB0049075;HMDB0049081;HMDB0049121;HMDB0049227;HMDB0049703;HMDB0049709;HMDB0049747;HMDB0049848;HMDB0049866;HMDB0050305;HMDB0050312;HMDB0050437;HMDB0051012;HMDB0052398;HMDB0052426;HMDB0052970;HMDB0053748;HMDB0054022;HMDB0055210;HMDB0055374;HMDB0055540	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C52:3 TAG	HMDBCOMB064	C52:3 TAG	HMDB0005384;HMDB0005425;HMDB0005434;HMDB0005438;HMDB0010432;HMDB0010439;HMDB0010442;HMDB0010443;HMDB0042163;HMDB0042169;HMDB0042197;HMDB0042204;HMDB0042321;HMDB0042348;HMDB0042378;HMDB0042406;HMDB0042424;HMDB0042450;HMDB0042522;HMDB0042545;HMDB0042580;HMDB0042581;HMDB0042604;HMDB0042630;HMDB0042669;HMDB0042755;HMDB0042943;HMDB0042949;HMDB0043895;HMDB0043901;HMDB0043927;HMDB0043934;HMDB0044043;HMDB0044068;HMDB0044094;HMDB0044165;HMDB0044256;HMDB0044257;HMDB0044278;HMDB0044304;HMDB0044311;HMDB0044333;HMDB0044394;HMDB0044474;HMDB0044500;HMDB0044655;HMDB0044662;HMDB0044677;HMDB0044683;HMDB0044735;HMDB0044871;HMDB0044896;HMDB0045078;HMDB0045131;HMDB0045489;HMDB0045496;HMDB0045670;HMDB0045870;HMDB0047783;HMDB0047803;HMDB0047824;HMDB0047892;HMDB0047914;HMDB0047935;HMDB0047958;HMDB0047979;HMDB0047980;HMDB0048024;HMDB0048046;HMDB0048137;HMDB0048401;HMDB0048425;HMDB0048466;HMDB0048572;HMDB0048612;HMDB0048613;HMDB0048634;HMDB0048655;HMDB0048764;HMDB0049058;HMDB0049080;HMDB0049221;HMDB0049708;HMDB0049746;HMDB0049842;HMDB0049861;HMDB0050304;HMDB0050886;HMDB0052530;HMDB0052886;HMDB0053367;HMDB0053664;HMDB0055168	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C52:2 TAG	HMDBCOMB065	C52:2 TAG	HMDB0005369;HMDB0005378;HMDB0005382;HMDB0005423;HMDB0005431;HMDB0010425;HMDB0010437;HMDB0010438;HMDB0042141;HMDB0042168;HMDB0042196;HMDB0042285;HMDB0042314;HMDB0042342;HMDB0042372;HMDB0042400;HMDB0042401;HMDB0042459;HMDB0042488;HMDB0042515;HMDB0042574;HMDB0042600;HMDB0042663;HMDB0042948;HMDB0043008;HMDB0043540;HMDB0043847;HMDB0043900;HMDB0044036;HMDB0044088;HMDB0044089;HMDB0044116;HMDB0044143;HMDB0044198;HMDB0044250;HMDB0044276;HMDB0044305;HMDB0044654;HMDB0044682;HMDB0044734;HMDB0044865;HMDB0044890;HMDB0044891;HMDB0044916;HMDB0044943;HMDB0044969;HMDB0045488;HMDB0045664;HMDB0045665;HMDB0045689;HMDB0045714;HMDB0045740;HMDB0046434;HMDB0046458;HMDB0047174;HMDB0047731;HMDB0047776;HMDB0047797;HMDB0047818;HMDB0047819;HMDB0047840;HMDB0047862;HMDB0047999;HMDB0048395;HMDB0048418;HMDB0048460;HMDB0048501;HMDB0048632;HMDB0048654;HMDB0049052;HMDB0049053;HMDB0049074;HMDB0049260;HMDB0049702;HMDB0049741;HMDB0049880;HMDB0050451;HMDB0052440;HMDB0053276	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C52:1 TAG	HMDBCOMB066	C52:1 TAG	HMDB0005361;HMDB0005367;HMDB0005375;HMDB0005421;HMDB0010431;HMDB0042075;HMDB0042134;HMDB0042162;HMDB0042190;HMDB0042191;HMDB0042219;HMDB0042248;HMDB0042277;HMDB0042306;HMDB0042335;HMDB0042365;HMDB0042394;HMDB0042420;HMDB0042453;HMDB0042481;HMDB0042942;HMDB0043001;HMDB0043337;HMDB0043840;HMDB0043920;HMDB0043947;HMDB0043974;HMDB0044028;HMDB0044082;HMDB0044108;HMDB0044110;HMDB0044136;HMDB0044137;HMDB0044648;HMDB0044649;HMDB0044676;HMDB0044729;HMDB0044754;HMDB0044780;HMDB0044858;HMDB0044884;HMDB0044910;HMDB0045456;HMDB0045482;HMDB0045483;HMDB0045533;HMDB0045558;HMDB0045684;HMDB0046234;HMDB0046259;HMDB0046308;HMDB0047006;HMDB0047838;HMDB0048500;HMDB0049134;HMDB0049760;HMDB0050318	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
C54:7 TAG	HMDBCOMB067	C54:7 TAG	HMDB0005447;HMDB0010475;HMDB0010489;HMDB0010490;HMDB0010502;HMDB0010503;HMDB0010519;HMDB0042359;HMDB0042389;HMDB0042440;HMDB0042446;HMDB0042533;HMDB0042538;HMDB0042562;HMDB0042597;HMDB0042620;HMDB0042626;HMDB0042643;HMDB0042649;HMDB0042707;HMDB0042714;HMDB0042736;HMDB0042772;HMDB0042823;HMDB0042829;HMDB0042858;HMDB0042886;HMDB0042910;HMDB0042911;HMDB0044079;HMDB0044187;HMDB0044273;HMDB0044294;HMDB0044300;HMDB0044355;HMDB0044375;HMDB0044382;HMDB0044490;HMDB0044496;HMDB0044511;HMDB0044517;HMDB0044543;HMDB0044550;HMDB0044570;HMDB0044619;HMDB0044882;HMDB0045121;HMDB0045310;HMDB0045329;HMDB0045336;HMDB0045428;HMDB0047814;HMDB0047946;HMDB0047951;HMDB0047969;HMDB0047974;HMDB0047996;HMDB0048005;HMDB0048011;HMDB0048083;HMDB0048127;HMDB0048133;HMDB0048143;HMDB0048149;HMDB0048171;HMDB0048201;HMDB0048215;HMDB0048232;HMDB0048233;HMDB0048289;HMDB0048309;HMDB0048326;HMDB0048347;HMDB0048348;HMDB0048390;HMDB0048412;HMDB0048477;HMDB0048603;HMDB0048608;HMDB0048629;HMDB0048651;HMDB0048685;HMDB0048692;HMDB0048760;HMDB0048769;HMDB0048775;HMDB0048803;HMDB0048817;HMDB0048824;HMDB0048838;HMDB0048897;HMDB0048923;HMDB0048929;HMDB0048950;HMDB0048970;HMDB0048986;HMDB0048987;HMDB0049007;HMDB0049091;HMDB0049232;HMDB0049237;HMDB0049257;HMDB0049402;HMDB0049415;HMDB0049422;HMDB0049562;HMDB0049569;HMDB0049582;HMDB0049719;HMDB0049853;HMDB0049858;HMDB0049877;HMDB0050015;HMDB0050027;HMDB0050034;HMDB0050167;HMDB0050174;HMDB0050186;HMDB0050448;HMDB0050876;HMDB0050882;HMDB0050917;HMDB0050995;HMDB0051001;HMDB0051017;HMDB0051024;HMDB0052403;HMDB0052408;HMDB0052507;HMDB0052520;HMDB0052526;HMDB0052540;HMDB0052555;HMDB0052636;HMDB0052741;HMDB0052850;HMDB0052876;HMDB0052882;HMDB0052895;HMDB0052959;HMDB0052971;HMDB0052978;HMDB0052985;HMDB0052992;HMDB0053194;HMDB0053259;HMDB0053273;HMDB0053357;HMDB0053363;HMDB0053375;HMDB0053654;HMDB0053660;HMDB0053683;HMDB0053737;HMDB0053754;HMDB0054415;HMDB0054642;HMDB0055164;HMDB0055170;HMDB0055322;HMDB0055352;HMDB0055458;HMDB0055500;HMDB0055908	AGPAT9;APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;CD36;CEL;CES1;CETP;CPT1A;CPT1B;CPT2;DGAT1;DGAT2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MGLL;MOGAT1;MOGAT2;MOGAT3;MTTP;P4HB;PLB1;PLIN4;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;SLC27A1
